               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
44,0.030528,0.025594,0.0037719,0.92507,0.74681,0.79931,0.4128,0.032861,0.028432,0.0050225,0.008581,0.008581,0.008581
45,0.031647,0.027644,0.0038003,0.85041,0.79753,0.85405,0.49883,0.030851,0.027596,0.00476,0.008548,0.008548,0.008548
46,0.03003,0.026644,0.0034319,0.84343,0.7509,0.83375,0.49469,0.031089,0.027621,0.0039991,0.008515,0.008515,0.008515
47,0.029895,0.025594,0.0031726,0.86179,0.74478,0.83183,0.52085,0.031547,0.028182,0.0046776,0.008482,0.008482,0.008482
48,0.03066,0.027905,0.0032498,0.90371,0.755,0.85083,0.53511,0.031862,0.028186,0.0051653,0.008449,0.008449,0.008449
49,0.029918,0.026679,0.0030646,0.88172,0.75711,0.81466,0.49753,0.032341,0.028623,0.00483,0.008416,0.008416,0.008416
50,0.030196,0.026758,0.0030295,0.86249,0.66833,0.77142,0.44449,0.032358,0.029089,0.0044826,0.008383,0.008383,0.008383
51,0.029572,0.024919,0.0032485,0.81315,0.74387,0.75402,0.46038,0.031603,0.029235,0.0063605,0.00835,0.00835,0.00835
52,0.029466,0.025285,0.0031469,0.8615,0.75403,0.7809,0.46581,0.030931,0.028792,0.0054556,0.008317,0.008317,0.008317
53,0.029903,0.028107,0.0029922,0.86043,0.72652,0.76951,0.47366,0.029595,0.028481,0.006458,0.008284,0.008284,0.008284
54,0.029346,0.026118,0.0027848,0.82531,0.83144,0.83838,0.52262,0.031483,0.029061,0.0053897,0.008251,0.008251,0.008251
55,0.030037,0.02636,0.0030832,0.83954,0.77416,0.84166,0.48979,0.03121,0.028744,0.0061036,0.008218,0.008218,0.008218
56,0.029375,0.026469,0.0024768,0.86151,0.69955,0.8079,0.51477,0.031419,0.029116,0.0072931,0.008185,0.008185,0.008185
57,0.029274,0.024985,0.0026345,0.76157,0.84582,0.83436,0.50529,0.031273,0.029063,0.0068713,0.008152,0.008152,0.008152
58,0.029351,0.02668,0.0025579,0.81095,0.80567,0.85153,0.49937,0.031394,0.028255,0.0047703,0.008119,0.008119,0.008119
59,0.028282,0.025151,0.0024413,0.94448,0.74008,0.8394,0.48729,0.031162,0.029319,0.0043874,0.008086,0.008086,0.008086
60,0.028532,0.025839,0.0023041,0.80882,0.82562,0.85347,0.51278,0.031509,0.028502,0.0047563,0.008053,0.008053,0.008053
61,0.028617,0.025126,0.0024274,0.86651,0.74316,0.81442,0.4777,0.031369,0.029177,0.0052254,0.00802,0.00802,0.00802
62,0.028364,0.025671,0.0025346,0.80628,0.75124,0.80739,0.47183,0.032334,0.028384,0.0053153,0.007987,0.007987,0.007987
63,0.027923,0.024519,0.0022754,0.74325,0.79678,0.81147,0.47555,0.031919,0.02924,0.0061727,0.007954,0.007954,0.007954
64,0.028336,0.025943,0.0021506,0.79842,0.75423,0.81072,0.46579,0.032502,0.028969,0.0053524,0.007921,0.007921,0.007921
65,0.026934,0.024473,0.0020248,0.77143,0.73694,0.76025,0.46198,0.030955,0.030437,0.0054882,0.007888,0.007888,0.007888
66,0.027969,0.024926,0.0022627,0.89186,0.73552,0.82035,0.51736,0.030593,0.029585,0.0055268,0.007855,0.007855,0.007855
67,0.026805,0.022985,0.0024323,0.90243,0.75121,0.81284,0.48475,0.032056,0.029706,0.0055026,0.007822,0.007822,0.007822
68,0.028037,0.025974,0.0018591,0.83378,0.77193,0.83552,0.5005,0.033007,0.030041,0.0041778,0.007789,0.007789,0.007789
69,0.026951,0.024477,0.001909,0.8195,0.7483,0.79229,0.48941,0.031464,0.030987,0.0045719,0.007756,0.007756,0.007756
70,0.028011,0.024978,0.0020746,0.90862,0.71815,0.7947,0.47847,0.032435,0.029602,0.0042753,0.007723,0.007723,0.007723
71,0.027065,0.02403,0.0021404,0.90453,0.75239,0.83142,0.4993,0.031946,0.029305,0.0040118,0.00769,0.00769,0.00769
72,0.027341,0.025582,0.0017446,0.81339,0.7897,0.79822,0.46011,0.031625,0.02871,0.0052187,0.007657,0.007657,0.007657
73,0.027572,0.025851,0.0019522,0.75974,0.8147,0.82261,0.53121,0.030066,0.027872,0.005243,0.007624,0.007624,0.007624
74,0.026854,0.024542,0.0020698,0.93877,0.72254,0.85693,0.5121,0.030991,0.027864,0.0039645,0.007591,0.007591,0.007591
75,0.026472,0.024078,0.0019744,0.84046,0.79892,0.82904,0.52327,0.031021,0.028646,0.0058434,0.007558,0.007558,0.007558
76,0.026451,0.023614,0.0018468,0.90925,0.75796,0.81671,0.49601,0.030359,0.028678,0.0056835,0.007525,0.007525,0.007525
77,0.026262,0.02429,0.0019762,0.90831,0.68698,0.80609,0.51584,0.029983,0.029294,0.0075268,0.007492,0.007492,0.007492
78,0.026586,0.024768,0.0018949,0.90058,0.77476,0.81831,0.49729,0.03013,0.029566,0.0047275,0.007459,0.007459,0.007459
79,0.027235,0.024203,0.0018984,0.86778,0.72511,0.83,0.51287,0.030635,0.02964,0.0050549,0.007426,0.007426,0.007426
80,0.025412,0.023512,0.0018868,0.86139,0.73402,0.80479,0.46797,0.032901,0.029965,0.006202,0.007393,0.007393,0.007393
81,0.026954,0.02483,0.00182,0.88374,0.728,0.8449,0.52803,0.031202,0.030909,0.0041507,0.00736,0.00736,0.00736
82,0.026747,0.023872,0.0018606,0.81425,0.80763,0.85421,0.496,0.031547,0.02913,0.0042839,0.007327,0.007327,0.007327
83,0.02626,0.023355,0.0020017,0.94924,0.7305,0.81546,0.4819,0.030617,0.029688,0.0040038,0.007294,0.007294,0.007294
